sample,experiment,peak_index,position,amplitude,fwhm
50 mA,exp1,1,3057.549960818146,1151.8896381520249,26.764243807605247
50 mA,exp1,2,3227.0119243354907,426.7037604059321,165.3213833384627
50 mA,exp1,3,3426.9776563520218,763.259195256624,219.04819664314005
50 mA,exp2,1,3057.6650344249247,559.9104728277746,25.506450107053134
50 mA,exp2,2,3226.7619200650383,283.7984096083304,232.40338353925392
50 mA,exp2,3,3434.0838318828187,381.62698871674326,211.35029727643183
100 mA,exp1,1,3057.5161957281075,1920.3578887996737,26.425510217455543
100 mA,exp1,2,3219.961754001203,463.26291030831834,133.1531969268411
100 mA,exp1,3,3430.1344965592257,1426.6829812972328,248.60807568800047
100 mA,exp2,1,3057.309311955579,2295.908951796511,26.486875778223336
100 mA,exp2,2,3220.643873577894,564.5169772027183,129.98391981165332
100 mA,exp2,3,3430.1827311179127,1876.5266299073035,254.9637738186428
150 mA,exp1,1,3057.3883862853445,2747.8745088938504,25.2283429906118
150 mA,exp1,2,3220.3151195804385,375.44436040611356,106.99850228188113
150 mA,exp1,3,3421.1400624611574,1083.7250344168342,264.5907887125167
150 mA,exp2,1,3057.273241057367,4140.780170344738,25.746028232972858
150 mA,exp2,2,3224.4486036583507,579.1079676059976,108.0061372837273
150 mA,exp2,3,3423.911188159251,1756.7220369923878,272.9424853088245
150 mA,exp3,1,3057.2614738302095,3046.1962745049377,25.540459865719594
150 mA,exp3,2,3220.645234368196,419.77796749396356,100.82789015451294
150 mA,exp3,3,3421.185224375913,1324.9923766595484,276.4811269643215
200 mA,exp1,1,3057.2396951734427,2100.397141259871,25.410210002343188
200 mA,exp1,2,3227.246477120396,324.00515653141395,111.76088561627625
200 mA,exp1,3,3412.1459709504056,981.8548693519573,278.0822440451728
200 mA,exp2,1,3057.403298130393,2354.440568195534,26.09372735474978
200 mA,exp2,2,3224.5576721118045,368.6758409762968,111.59815713480533
200 mA,exp2,3,3414.205497227554,1170.5717630046545,279.9999999957779
300 mA,exp2,1,3068.509426057586,64.88498014200495,31.77314372902737
300 mA,exp2,2,3229.950707422963,293.24586042125253,230.13169204419574
300 mA,exp2,3,3459.4440784209933,538.7121641789557,222.17914598507463
300 mA,exp3,1,3062.0273304307725,78.89198947831473,18.144224114724754
300 mA,exp3,2,3227.8692974220166,326.5290537903537,279.99999999999994
300 mA,exp3,3,3464.726677551511,500.34251726696033,223.67831039338762
300 mA,exp4,1,3138.5538612525843,71.82200580216761,5.0000000000034
300 mA,exp4,2,3238.710177300441,316.3421706784753,279.99999999999994
300 mA,exp4,3,3465.496472696541,490.6189133636644,225.82215270622984
400 mA,exp1,1,3055.6944913218526,67.52424309575132,79.99999998635852
400 mA,exp1,2,3226.2457713027247,443.6512644268941,279.9999999999945
400 mA,exp1,3,3472.149324478068,894.9340781407027,221.80152785510964
400 mA,exp2,1,3061.1411281220776,72.22142406600773,18.548243124213506
400 mA,exp2,2,3234.4513535898304,387.1591417611619,279.99999999999994
400 mA,exp2,3,3472.0556183898457,708.0292120929104,212.24885356530373
500 mA,exp1,1,3063.0045556103005,74.95080835109796,40.24605488270295
500 mA,exp1,2,3238.0443142720346,244.83388164657276,263.08222037180576
500 mA,exp1,3,3453.264237572507,297.50388069890926,202.89947246980472
500 mA,exp2,1,3061.0463077752374,86.71707092976271,27.7690926914264
500 mA,exp2,2,3223.108099065388,275.9969838538065,261.78067978551314
500 mA,exp2,3,3452.9010933477725,314.8693685453585,233.76010384974015
500 mA,exp3,1,3061.6356812369336,90.96041825954765,44.57545043026821
500 mA,exp3,2,3221.907882834014,266.686398392139,279.99999999999994
500 mA,exp3,3,3454.3199765470235,244.46920988806005,215.35966132780274
500 mA,exp4,1,3059.7285941201353,77.29323213625314,43.80583378031634
500 mA,exp4,2,3210.699659657993,227.25943341873182,234.46416067355287
500 mA,exp4,3,3445.2481713800457,278.7207239082596,239.02405301074472
750 mA,exp1,1,3055.8896612865856,80.40764509554545,31.996686936583103
750 mA,exp1,2,3188.6741023607624,319.26110609483095,279.9999999999988
750 mA,exp1,3,3439.0326735949843,419.1111440386563,260.12721673679107
750 mA,exp2,1,3059.6554427403294,99.24418132312044,27.17953746102731
750 mA,exp2,2,3206.535246415804,246.69177845075538,218.94316097378638
750 mA,exp2,3,3431.98132935174,376.73328905766465,245.7246999656394
1000 mA,exp1,1,3059.6685894096986,99.28973893055468,27.207200451840123
1000 mA,exp1,2,3206.069912183235,245.68371727986613,218.10434025379922
1000 mA,exp1,3,3431.6804672366648,377.50548209851274,246.7317667960967
1000 mA,exp2,1,3055.8812980635075,80.33913124665305,31.975257381169346
1000 mA,exp2,2,3188.4373920303556,319.19660242375267,279.99999998728885
1000 mA,exp2,3,3438.9846298968027,419.6776364308451,260.61017618537056
