current_density,peak_index,pct_mean,pct_std,species
0.0005,2.0,43.586299124457334,,4-HB water
0.0005,3.0,56.41370087554267,,3-HB water
0.001,2.0,37.809794303569994,,4-HB water
0.001,3.0,62.19020569643,,3-HB water
0.01,2.0,33.49206374578817,,4-HB water
0.01,3.0,66.50793625421181,,3-HB water
0.025,2.0,26.815604356233496,,4-HB water
0.025,3.0,73.18439564376649,,3-HB water
0.05,2.0,19.759169565986443,,4-HB water
0.05,3.0,80.24083043401356,,3-HB water
0.1,2.0,22.058324457738028,,4-HB water
0.1,3.0,77.94167554226196,,3-HB water
0.15,2.0,25.28835591104131,,4-HB water
0.15,3.0,74.71164408895869,,3-HB water
0.2,2.0,28.822466431961484,,4-HB water
0.2,3.0,71.17753356803851,,3-HB water
