sample,experiment,peak_index,peak_name,position,amplitude,fwhm
50 mA,exp1,1,membrane,3057.513953245948,1151.6682192103472,26.75586547161048
50 mA,exp1,2,4hb,3236.787396733525,469.5459010157125,179.5348525183039
50 mA,exp1,3,3hb,3431.3851811277855,759.6409352145159,197.37267144773512
50 mA,exp1,4,0hb,3580.4999999992115,49.56876846959104,100.5954552138482
50 mA,exp2,1,membrane,3057.622695090212,557.5869370605444,25.346994218314624
50 mA,exp2,2,4hb,3251.0294326931726,326.5089131475862,279.99998751503125
50 mA,exp2,3,3hb,3443.6256548508713,328.7056669685077,178.8977233233429
50 mA,exp2,4,0hb,3580.499999924118,39.95071978101262,142.42855818224288
100 mA,exp1,1,membrane,3057.4487662426295,1924.5587569171887,26.511518788764718
100 mA,exp1,2,4hb,3242.8389251301573,642.48223821744,169.0338852337109
100 mA,exp1,3,3hb,3431.461385145413,1435.9278948671747,192.68955923364246
100 mA,exp1,4,0hb,3580.4999999999995,266.59834636275247,149.99999999999997
100 mA,exp2,1,membrane,3057.2593133808123,2300.694515152284,26.57594282028632
100 mA,exp2,2,4hb,3240.3646206292024,797.639241617613,159.76583680813874
100 mA,exp2,3,3hb,3428.9761591991546,1893.130342895016,198.41984577425168
100 mA,exp2,4,0hb,3580.4999999999973,368.25047822189777,149.99999999997786
150 mA,exp1,1,membrane,3057.3804587675154,2751.8842749680043,25.28377109928162
150 mA,exp1,2,4hb,3238.4510310052246,552.3899964789762,139.7763291510283
150 mA,exp1,3,3hb,3420.8546042827948,1118.382871778277,192.7407145360732
150 mA,exp1,4,0hb,3580.4999999999995,259.35016475252235,149.99999999999997
150 mA,exp2,1,membrane,3057.283131651295,4140.305987574784,25.72733106254093
150 mA,exp2,2,4hb,3236.0435082593376,814.2897303256296,129.07007874462388
150 mA,exp2,3,3hb,3419.8411723240456,1777.8361847597687,210.0947657881303
150 mA,exp2,4,0hb,3580.4999999999995,375.1422621708988,149.99999999999997
150 mA,exp3,1,membrane,3057.2720655932626,3047.67977623573,25.553333975699413
150 mA,exp3,2,4hb,3233.9211137043703,612.9106928292806,128.31317436088813
150 mA,exp3,3,3hb,3417.6132719177335,1350.2973537777316,207.27666936721167
150 mA,exp3,4,0hb,3580.4999999999995,304.92810296726964,149.99999999999997
200 mA,exp1,1,membrane,3057.2581881142764,2100.0411791652305,25.389259841629638
200 mA,exp1,2,4hb,3237.944871841719,491.34327151581806,132.8307907789634
200 mA,exp1,3,3hb,3414.2833041126532,993.4678086103609,212.59473937350444
200 mA,exp1,4,0hb,3580.4999999999995,193.5139296074148,123.76574771157775
200 mA,exp2,1,membrane,3057.4261270479856,2355.070841196396,26.096254507878065
200 mA,exp2,2,4hb,3231.914316740702,521.406151295847,128.86486564754816
200 mA,exp2,3,3hb,3411.300190392691,1181.2562127887054,223.65187252242973
200 mA,exp2,4,0hb,3580.4999999999995,225.43171512867562,149.99999999999997
300 mA,exp2,1,membrane,3068.327248186874,60.160139964819855,30.352324835641035
300 mA,exp2,2,4hb,3254.999999999996,332.24582474850246,276.4084523373746
300 mA,exp2,3,3hb,3461.523603969994,486.0574498914899,181.54408406774468
300 mA,exp2,4,0hb,3580.4999999999995,86.5738003344134,111.31459655013121
300 mA,exp3,1,membrane,3062.1030243845066,79.19531195262074,18.291494402082876
300 mA,exp3,2,4hb,3232.1805256380558,327.7603524654095,279.99999999999994
300 mA,exp3,3,3hb,3463.35721941194,491.4791360421535,214.17737705378573
300 mA,exp3,4,0hb,3580.4999999999995,23.199404253480733,86.95624787577351
300 mA,exp4,1,membrane,3062.025594731192,78.04569100403464,29.426889663464156
300 mA,exp4,2,4hb,3241.479512088238,344.1211080202571,279.99999999999994
300 mA,exp4,3,3hb,3462.0307983568173,485.24073513996063,211.1328400614361
300 mA,exp4,4,0hb,3580.4999999999995,38.61927495762578,131.06494345442908
400 mA,exp1,1,membrane,3072.250858889664,60.15092352020033,79.99999999999999
400 mA,exp1,2,4hb,3252.606856192593,432.83134180807974,279.99999999999994
400 mA,exp1,3,3hb,3466.137386298814,825.4541089973029,185.29925598169464
400 mA,exp1,4,0hb,3580.4999999999995,160.5637409732129,102.94781253755853
400 mA,exp2,1,membrane,3061.2624772318973,72.56713170979003,18.61637309477507
400 mA,exp2,2,4hb,3239.5724859269953,387.87490961652435,279.99999999999994
400 mA,exp2,3,3hb,3469.677477164884,693.9727074422844,201.43994637582395
400 mA,exp2,4,0hb,3580.4999999999995,42.80121666155677,91.59085899472151
500 mA,exp1,1,membrane,3063.301212058485,74.24899597167979,40.11695698740159
500 mA,exp1,2,4hb,3252.0875338747373,257.9661931188377,279.9999999997588
500 mA,exp1,3,3hb,3454.8352744751596,277.8694355781591,176.66176677781777
500 mA,exp1,4,0hb,3580.4999999998504,33.41102287821882,96.93680643471207
500 mA,exp2,1,membrane,3061.254026719297,86.74714979591211,27.793305907472508
500 mA,exp2,2,4hb,3240.991710446732,298.402119505806,279.9999999999998
500 mA,exp2,3,3hb,3452.0856878022205,282.5622484265971,189.95634148069095
500 mA,exp2,4,0hb,3580.4999999802544,55.83007247407412,149.99999999999997
500 mA,exp3,1,membrane,3063.412658983011,92.54660849067827,50.4710380406084
500 mA,exp3,2,4hb,3234.7605535039283,272.2928704024212,279.99999999999994
500 mA,exp3,3,3hb,3453.232772532626,234.3997711209258,180.81566481668588
500 mA,exp3,4,0hb,3580.4999999999995,41.50596808997906,80.00000000000001
500 mA,exp4,1,membrane,3059.846189407158,73.94891157997593,42.38939533189864
500 mA,exp4,2,4hb,3236.3891358190162,259.0105096653545,279.9999999725113
500 mA,exp4,3,3hb,3450.5895899654834,245.0083775896682,175.6751834767953
500 mA,exp4,4,0hb,3580.499999992459,62.842533226372744,121.23206974670126
750 mA,exp1,1,membrane,3057.0348437900834,84.12377297441093,34.16720021698123
750 mA,exp1,2,4hb,3213.360848392778,327.9495360135155,279.99999999999994
750 mA,exp1,3,3hb,3439.811853840255,384.85307726104634,211.03852927321745
750 mA,exp1,4,0hb,3580.4999999999995,64.46449553639941,111.64471195506404
750 mA,exp2,1,membrane,3059.523626992653,96.22829817354682,26.247834572269216
750 mA,exp2,2,4hb,3248.476360666264,312.74050329753084,279.99999999999994
750 mA,exp2,3,3hb,3445.162404530431,318.040947437981,167.13527549046407
750 mA,exp2,4,0hb,3580.4999999999995,91.28391595772926,118.33253397511275
1000 mA,exp1,1,membrane,3059.533208182618,96.21702209618353,26.2234603195348
1000 mA,exp1,2,4hb,3248.5834050146564,312.9928094966309,279.99999999999994
1000 mA,exp1,3,3hb,3445.080897239603,318.14202468632385,166.94681619408465
1000 mA,exp1,4,0hb,3580.4999999999995,92.19012253662494,119.3217032929433
1000 mA,exp2,1,membrane,3057.0393202826745,84.10401028324691,34.156322398905466
1000 mA,exp2,2,4hb,3213.4138782091686,328.0021178589122,279.99999999999994
1000 mA,exp2,3,3hb,3439.776626647002,384.8962703090122,210.94790667930138
1000 mA,exp2,4,0hb,3580.4999999999995,64.87013638283359,112.267510606326
